"","GameSno","FieldAbbe","VisitingTeamName","HomeTeamName","VisitingScore","HomeScore","AudienceCnt","Year.x","Date","Weekdays","HeadUmpire","GameTime","Angels","Result","X","ErrorCnt","TotalHittingCnt","TotalHitCnt","TotalHomeRunCnt","Year.y","KindCode","Seq","VisitingHomeType","HitterAcnt","HitterName","HitterUniformNo","RoleType","IsContinuousRace","PlateAppearances","HitCnt","RunBattedINCnt","GameWinningRbiCnt","IsMvp","ScoreCnt","HittingCnt","OneBaseHitCnt","TwoBaseHitCnt","ThreeBaseHitCnt","HomeRunCnt","GrandSlamHomerunCnt","TotalBases","DoublePlayBatCnt","TripplePlayBatCnt","SacrificeHitCnt","SacrificeFlyCnt","BasesONBallsCnt","IntentionalBasesONBallsCnt","HitBYPitchCnt","StrikeOutCnt","StealBaseOKCnt","StealBaseFailCnt","Lobs","LeftBehindLobs","ObstructionCnt","Pkno","CreateTime","CreateUser","UpdateTime","UpdateUser","Rowstamp","Rboe","TeamName"
"134",47,"新莊","統一7-ELEVEn獅","富邦悍將",2,1,6013,2023,"2023/4/29","星期六","江春緯",227,"ANGE
FUBON
Ange
Ange
Angels
Ragels
丹丹
Jessy
東東
沁沁
2023.04.29
VS. E
Angels
gels
Angels
卡卡
維心
Tiffany
慈妹
Angels
Angel
Mengels
Angels
安娜
檸檬
朱朱
蓁蓁","L",5689,0,20,73,1,2023,"A",1,2,2352,"范國宸",46,"先發",1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,"Z007JSBB","2023-04-29T21:03:12","batch","2023-04-29T21:03:12","batch",NA,0,"富邦悍將"
"135",47,"新莊","統一7-ELEVEn獅","富邦悍將",2,1,6013,2023,"2023/4/29","星期六","江春緯",227,"ANGE
FUBON
Ange
Ange
Angels
Ragels
丹丹
Jessy
東東
沁沁
2023.04.29
VS. E
Angels
gels
Angels
卡卡
維心
Tiffany
慈妹
Angels
Angel
Mengels
Angels
安娜
檸檬
朱朱
蓁蓁","L",5693,0,16,65,1,2023,"A",1,2,3339,"林哲瑄",1,"先發",1,2,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,"Z007JSBD","2023-04-29T21:03:12","batch","2023-04-29T21:03:12","batch",NA,0,"富邦悍將"
"136",47,"新莊","統一7-ELEVEn獅","富邦悍將",2,1,6013,2023,"2023/4/29","星期六","江春緯",227,"ANGE
FUBON
Ange
Ange
Angels
Ragels
丹丹
Jessy
東東
沁沁
2023.04.29
VS. E
Angels
gels
Angels
卡卡
維心
Tiffany
慈妹
Angels
Angel
Mengels
Angels
安娜
檸檬
朱朱
蓁蓁","L",5694,0,1,8,0,2023,"A",1,2,5334,"廖柏勳",64,"非先發",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Z007JSBE","2023-04-29T21:03:12","batch","2023-04-29T21:03:12","batch",NA,0,"富邦悍將"
"137",49,"新莊","統一7-ELEVEn獅","富邦悍將",7,0,5262,2023,"2023/4/30","星期日","吳家維",172,"Angel
Ange
Angels
Hagel's
奶昔
Jessy
秀秀子
沁沁
ANGE
FUBON
Angels
Angels
Angels
卡卡
維心
Kesha
慈妹
2023.04.30
W
VS. E
Angels
Angel
Mengels
Angels
安娜
檸檬
朱朱
蓁蓁","L",5717,0,0,0,0,2023,"A",1,2,361,"張冠廷",33,"非先發",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Z007QDQ3","2023-04-30T17:08:19","batch","2023-04-30T17:08:19","batch",NA,0,"富邦悍將"
"138",49,"新莊","統一7-ELEVEn獅","富邦悍將",7,0,5262,2023,"2023/4/30","星期日","吳家維",172,"Angel
Ange
Angels
Hagel's
奶昔
Jessy
秀秀子
沁沁
ANGE
FUBON
Angels
Angels
Angels
卡卡
維心
Kesha
慈妹
2023.04.30
W
VS. E
Angels
Angel
Mengels
Angels
安娜
檸檬
朱朱
蓁蓁","L",5719,0,0,1,0,2023,"A",1,2,6861,"蔡佳諺",65,"非先發",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Z007QDQE","2023-04-30T17:08:19","batch","2023-04-30T17:08:19","batch",NA,0,"富邦悍將"
"139",49,"新莊","統一7-ELEVEn獅","富邦悍將",7,0,5262,2023,"2023/4/30","星期日","吳家維",172,"Angel
Ange
Angels
Hagel's
奶昔
Jessy
秀秀子
沁沁
ANGE
FUBON
Angels
Angels
Angels
卡卡
維心
Kesha
慈妹
2023.04.30
W
VS. E
Angels
Angel
Mengels
Angels
安娜
檸檬
朱朱
蓁蓁","L",5721,0,16,67,1,2023,"A",1,2,3339,"林哲瑄",1,"先發",1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Z007QDQ9","2023-04-30T17:08:19","batch","2023-04-30T17:08:19","batch",NA,0,"富邦悍將"
"140",49,"新莊","統一7-ELEVEn獅","富邦悍將",7,0,5262,2023,"2023/4/30","星期日","吳家維",172,"Angel
Ange
Angels
Hagel's
奶昔
Jessy
秀秀子
沁沁
ANGE
FUBON
Angels
Angels
Angels
卡卡
維心
Kesha
慈妹
2023.04.30
W
VS. E
Angels
Angel
Mengels
Angels
安娜
檸檬
朱朱
蓁蓁","L",5723,0,9,47,0,2023,"A",1,2,910,"張進德",69,"非先發",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Z007QDQ4","2023-04-30T17:08:19","batch","2023-04-30T17:08:19","batch",NA,0,"富邦悍將"
"141",49,"新莊","統一7-ELEVEn獅","富邦悍將",7,0,5262,2023,"2023/4/30","星期日","吳家維",172,"Angel
Ange
Angels
Hagel's
奶昔
Jessy
秀秀子
沁沁
ANGE
FUBON
Angels
Angels
Angels
卡卡
維心
Kesha
慈妹
2023.04.30
W
VS. E
Angels
Angel
Mengels
Angels
安娜
檸檬
朱朱
蓁蓁","L",5725,0,21,76,1,2023,"A",1,2,2352,"范國宸",46,"先發",1,3,3,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,"Z007QDQ6","2023-04-30T17:08:19","batch","2023-04-30T17:08:19","batch",NA,0,"富邦悍將"
"142",49,"新莊","統一7-ELEVEn獅","富邦悍將",7,0,5262,2023,"2023/4/30","星期日","吳家維",172,"Angel
Ange
Angels
Hagel's
奶昔
Jessy
秀秀子
沁沁
ANGE
FUBON
Angels
Angels
Angels
卡卡
維心
Kesha
慈妹
2023.04.30
W
VS. E
Angels
Angel
Mengels
Angels
安娜
檸檬
朱朱
蓁蓁","L",5728,0,6,20,0,2023,"A",1,2,5563,"姚冠瑋",10,"先發",1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Z007QDQB","2023-04-30T17:08:19","batch","2023-04-30T17:08:19","batch",NA,0,"富邦悍將"
"143",49,"新莊","統一7-ELEVEn獅","富邦悍將",7,0,5262,2023,"2023/4/30","星期日","吳家維",172,"Angel
Ange
Angels
Hagel's
奶昔
Jessy
秀秀子
沁沁
ANGE
FUBON
Angels
Angels
Angels
卡卡
維心
Kesha
慈妹
2023.04.30
W
VS. E
Angels
Angel
Mengels
Angels
安娜
檸檬
朱朱
蓁蓁","L",5730,0,16,57,0,2023,"A",1,2,6738,"孔念恩",82,"先發",1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Z007QDQC","2023-04-30T17:08:19","batch","2023-04-30T17:08:19","batch",NA,0,"富邦悍將"
